,Twitter Handle,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago,Tweet Datetime,Tweet Text
94,@BBC,0.0276,0.105,0.794,0.101,95,2018-09-27 14:03:05+00:00,"""It's very difficult not to tie your self-worth to the size of your audience"".

@hankgreen on the darker side of internet fame. https://t.co/Xs6Np4JgWe https://t.co/sacjHd2yFG"
95,@BBC,0.4939,0.106,0.894,0.0,96,2018-09-27 13:46:00+00:00,"If half of the UK switched to reusable water bottles, we'd save enough plastic to stretch to the moon and back in just one year.💧

#NationalRefillDay #PlasticsAction https://t.co/AbIqz3tlD6"
96,@BBC,0.0,0.0,1.0,0.0,97,2018-09-27 13:10:27+00:00,RT @BBCNews: Postman Pat and Rosie and Jim author John Cunliffe dies https://t.co/VPI0iFKwaA
97,@BBC,-0.4019,0.225,0.476,0.299,98,2018-09-27 13:03:06+00:00,"""Dear haters, you're going to hate this."" 

Oliver reacts to Scotland's 'Dear Transphobes' campaign.

https://t.co/uayhqEP7jP"
98,@BBC,0.0,0.0,1.0,0.0,99,2018-09-27 12:32:06+00:00,"What a moment! 😮 🐙

A man has been filmed being slapped in the face with a large octopus thrown by a seal. 👉
https://t.co/03g0IfM7pV https://t.co/Fw7uSGPuYC"
99,@BBC,-0.5267,0.0,0.764,0.236,100,2018-09-27 11:03:03+00:00,"Millions of seahorses are caught every year, threatening their global survival. 💔

https://t.co/CUYoiiYtXa"
100,@CNN,-0.5859,0.097,0.729,0.174,1,2018-10-04 05:31:05+00:00,"Eating processed meats like bacon, sausages and ham could increase the risk of breast cancer, a study shows.

Regularly consuming the foods was linked with a 9% higher risk, according to an analysis of previous studies looking at over 1.2 million women. https://t.co/ar6uxARLCh"
101,@CNN,0.0,0.0,1.0,0.0,2,2018-10-04 05:28:07+00:00,"After an unusually large amount of rain, officials are telling people who live near a dam in southern Arizona to evacuate https://t.co/UxtLwqYCqm"
102,@CNN,-0.5719,0.078,0.727,0.195,3,2018-10-04 05:25:03+00:00,"The British and Australian governments have accused Russian military intelligence of carrying out a worldwide campaign of ""indiscriminate and reckless"" cyber attacks, including the hacking of the US Democratic National Committee in 2016 https://t.co/5diWAC90ob"
103,@CNN,0.4019,0.234,0.649,0.117,4,2018-10-04 05:16:00+00:00,"Fashion has a water consumption problem. But bacterial dye -- yes, bacterial -- could help change that: https://t.co/IZ6RkVzKtP https://t.co/PzbxcQZHti"
104,@CNN,0.4215,0.085,0.915,0.0,5,2018-10-04 05:12:28+00:00,"Audio of radio interviews between longtime Trump ally Roger Stone &amp; the radio host he claimed was his back channel to WikiLeaks recently came into the possession of special counsel Robert Mueller's office, two sources with knowledge of the matter tell CNN https://t.co/bDJTnPBEIp"
105,@CNN,0.0,0.0,1.0,0.0,6,2018-10-04 05:02:59+00:00,"RT @CNNBusiness: The world's first full-scale Hyperloop passenger capsule has been revealed, and it could be the future of travel https://t…"
106,@CNN,-0.5859,0.0,0.882,0.118,7,2018-10-04 05:01:06+00:00,"An off-duty border patrol agent planned to shoot a rifle at a target containing a highly explosive substance revealing either blue powder for a boy, or pink powder for a girl. His actions led to the Sawmill Fire, a 47,000-acre wildfire in Arizona. https://t.co/79ZjZMpLGm"
107,@CNN,0.7184,0.333,0.667,0.0,8,2018-10-04 04:57:12+00:00,United Airlines flight lands safely after mayday call shuts down Sydney airport https://t.co/vNMEuulxZw https://t.co/6rqOLwupyu
108,@CNN,0.0772,0.046,0.954,0.0,9,2018-10-04 04:46:00+00:00,"Take a rare tour underneath and inside San Francisco's Golden Gate Bridge where about 200 iron workers, engineers, painters and other workers keep the famous landmark shining https://t.co/9CeT2OyzzP https://t.co/TmVbBcN0Eg"
